,season,yearly_id,label,Position_order,lws_lastyear,ppr_lastyear,lw_lastyear,sv_lastyear,lw_ever.x,PA_SuccessRate,PA_HC_Change,PA_Team_Change,PA_Season_Skipped,PA_Team_Drafted,g30_lastyear,g25_lastyear,g20_lastyear,gT10_lastyear,adp_averagePick_placeholder,ecr_placeholder,experience,lws_2yrs_ago,ppr_2yrs_ago,lw_2yrs_ago,sv_2yrs_ago,lw_ever.y,PA_SuccessRate_lastyear,PA_HC_Change_lastyear,PA_Team_Change_lastyear,PA_Season_Skipped_lastyear,PA_Team_Drafted_lastyear,g30_lastyear_2yrs_ago,g25_lastyear_2yrs_ago,g20_lastyear_2yrs_ago,gT10_lastyear_2yrs_ago,adp_averagePick_lastyear,ecr_lastyear
1,2022,2022_Breece Hall,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2022,2022_Treylon Burks,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2022,2022_Garrett Wilson,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2022,2022_Drake London,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2022,2022_Kenneth Walker,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2022,2022_Isaiah Spiller,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2022,2022_Chris Olave,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2022,2022_Jameson Williams,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2022,2022_Kyren Williams,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2022,2022_David Bell,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_George Pickens,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Jahan Dotson,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Rachaad White,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Trey McBride,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Malik Willis,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Brian Robinson Jr.,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_John Metchie,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Wan'Dale Robinson,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Tyler Allgeier,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Skyy Moore,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Justyn Ross,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Christian Watson,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_James Cook,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Kenny Pickett,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Zamir White,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Jalen Tolbert,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Dameon Pierce,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Jalen Wydermyer,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Jerome Ford,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Matt Corral,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Khalil Shakir,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Tyler Badie,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Sam Howell,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Pierre Strong,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Kennedy Brooks,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Hassan Haskins,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Calvin Austin,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Romeo Doubs,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Alec Pierce,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Jerrion Ealy,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Zonovan Knight,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Desmond Ridder,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Dai'Jean Dixon,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Kevin Harris,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_CJ Verdell,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Jeremy Ruckert,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Tyrion Davis-Price,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Master Teague,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Jalen Nailor,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Greg Dulcich,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Jerreth Sterns,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Max Borghi,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,2022_Ty Fryfogle,0,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
